USD_BRL,Dia,Mes,Ano
3.11,3,8,2017
3.11,2,8,2017
3.13,1,8,2017
3.13,31,7,2017
3.13,28,7,2017
3.15,27,7,2017
3.14,26,7,2017
3.17,25,7,2017
3.15,24,7,2017
3.14,21,7,2017
3.12,20,7,2017
3.15,19,7,2017
3.15,18,7,2017
3.18,17,7,2017
3.18,14,7,2017
3.21,13,7,2017
3.21,12,7,2017
3.25,11,7,2017
3.26,10,7,2017
3.28,7,7,2017
3.3,6,7,2017
3.29,5,7,2017
3.31,4,7,2017
3.3,3,7,2017
3.31,30,6,2017
3.3,29,6,2017
3.28,28,6,2017
3.31,27,6,2017
3.3,26,6,2017
3.34,23,6,2017
3.34,22,6,2017
3.34,21,6,2017
3.33,20,6,2017
3.28,19,6,2017
3.29,16,6,2017
3.28,15,6,2017
3.27,14,6,2017
3.32,13,6,2017
3.32,12,6,2017
3.3,9,6,2017
3.26,8,6,2017
3.27,7,6,2017
3.28,6,6,2017
3.3,5,6,2017
3.25,2,6,2017
3.25,1,6,2017
3.23,31,5,2017
3.26,30,5,2017
3.26,29,5,2017
3.26,26,5,2017
3.27,25,5,2017
3.28,24,5,2017
3.27,23,5,2017
3.27,22,5,2017
3.25,19,5,2017
3.37,18,5,2017
3.14,17,5,2017
3.1,16,5,2017
3.11,15,5,2017
3.12,12,5,2017
3.14,11,5,2017
3.17,10,5,2017
3.19,9,5,2017
3.2,8,5,2017
3.18,5,5,2017
3.19,4,5,2017
3.17,3,5,2017
3.15,2,5,2017
3.18,1,5,2017
3.18,28,4,2017
3.18,27,4,2017
3.17,26,4,2017
3.15,25,4,2017
3.13,24,4,2017
3.15,21,4,2017
3.15,20,4,2017
3.15,19,4,2017
3.11,18,4,2017
3.1,17,4,2017
3.14,14,4,2017
3.14,13,4,2017
3.13,12,4,2017
3.14,11,4,2017
3.13,10,4,2017
3.15,7,4,2017
3.14,6,4,2017
3.12,5,4,2017
3.09,4,4,2017
3.11,3,4,2017
3.12,31,3,2017
3.15,30,3,2017
3.12,29,3,2017
3.14,28,3,2017
3.13,27,3,2017
3.11,24,3,2017
3.14,23,3,2017
3.09,22,3,2017
3.09,21,3,2017
3.07,20,3,2017
3.09,17,3,2017
3.12,16,3,2017
3.1,15,3,2017
3.17,14,3,2017
3.15,13,3,2017
3.14,10,3,2017
3.19,9,3,2017
3.16,8,3,2017
3.12,7,3,2017
3.14,6,3,2017
3.12,3,3,2017
3.16,2,3,2017
3.09,1,3,2017
3.11,28,2,2017
3.11,27,2,2017
3.11,24,2,2017
3.06,23,2,2017
3.06,22,2,2017
3.1,21,2,2017
3.09,20,2,2017
3.1,17,2,2017
3.09,16,2,2017
3.06,15,2,2017
3.08,14,2,2017
3.11,13,2,2017
3.12,10,2,2017
3.13,9,2,2017
3.12,8,2,2017
3.12,7,2,2017
3.12,6,2,2017
3.12,3,2,2017
3.12,2,2,2017
3.13,1,2,2017
3.15,31,1,2017
3.13,30,1,2017
3.14,27,1,2017
3.18,26,1,2017
3.17,25,1,2017
3.17,24,1,2017
3.16,23,1,2017
3.17,20,1,2017
3.2,19,1,2017
3.23,18,1,2017
3.21,17,1,2017
3.24,16,1,2017
3.22,13,1,2017
3.19,12,1,2017
3.2,11,1,2017
3.2,10,1,2017
